ALPHABETICAL LISTING OF SYSTEMS IN MAGYAR SECTOR:


System            Subsector & Hex   
Lonelund               H 2813
Lontarelli             D 2801
Lovich                 I 0627
Lowhorn                C 1808
Luoh                   C 2110
Mafred                 B 1008 
Manta                  N 1140
Maxwell                N 1036
Mazotz                 O 2231
McBain                 P 2539
McManus                E 0315
McNellen               K 2026
Melody                 H 3114
Merak                  A 0210
Merida                 J 1121
Mervyn                 J 1624
Messelnap              D 2806
Mest                   K 2426
Meza                   E 0813
Mickel                 E 0119
Milbrath               H 2716
Milenky                D 2603
Minsk                  F 1512
Mitaro                 I 0425
Mitava                 M 0338
Mogeen                 P 3231
Montlivan              L 3222
Morgenstern            L 2625
Morsen                 M 0636
Motao                  P 2836
Moxbarg                K 1821
Mubark                 B 1106 
Nahn                   C 2403
Nait                   I 0825
Namedih                G 1713
Namodi                 L 2729
Needler                O 2135
Nethery                F 1612
Nettle                 F 1214
New Ico                N 1532
New Sol                A 0503
New Winnipeg           F 1217
Nihonatarashi          E 0812
Nimikh                 M 0633
Nishikiori             F 1116
Nocha                  O 2133
Norkio                 H 2915
Nosret                 D 2807
Nova Dune              A 0807
Nubtar                 G 1815
Oasis                  A 0102
Ock                    I 0227
Oldorf                 M 0732
Olsson                 B 1409 
Onewen                 L 3125
Opoyama                B 0904 
Orpurgo                L 2726
Otha                   G 2319
Ownes                  G 1917
Oyama                  A 0404
Packard                F 0918
Pankow                 H 2518
Papesh                 E 0516
Paputsus               D 2804
Pardini                P 2936
Parkhill               L 2725
Parperides             H 2917
Pathak                 I 0623
Patnode                F 1213
Patterson              F 1418
Paxton                 K 2126
Pearce                 G 1911
Perrault               J 1029
Philpott               C 1904
Phipps                 C 1708
Phua                   P 3234
Piccione               P 2538
Pieper                 G 1919
Pindur                 E 0615
Pinnock                D 2701
Pity                   A 0104
Placid                 A 0303
Plage                  C 2008
Pocatlipcat            L 3030
Pryon                  E 0115
Pungitore              D 3104
Quinn                  J 1329
Quizen                 M 0134
Quraifi                F 1517
Raiden                 L 2724
Raleigh                F 1413
Ramanar                J 1326
Ramaniam               K 1927
Ramli                  H 2913
Randzo                 H 2717
Rasilha                J 1129
Ratri                  O 1836
Red                    N 0939
Redden                 A 0509
Reed                   G 1720
Regasas                M 0135
Reichmuth              C 2206
Reid                   D 3002
Relatte                B 1003 
Reynold                A 0105
Rishi                  I 0423
Ristel                 I 0724
Rita's Place           C 2205
Robidou                D 3009
Roblig                 F 1513
Rodriguez              G 2317
Roen                   O 2335
Rogalle                G 2213
Romm                   I 0224
Rosefeld               I 0130
Rouern                 H 3213
Rudikk                 A 0309
Rumley                 D 2508
Rundle                 M 0340
Sabuda                 D 2506
Saienz                 K 1824
Salyer                 O 1939
Sammadar               M 0440
Sapphire               B 1404 
Saratela               A 0808
Schaut                 G 2418
Schurz                 E 0113
Scoggan                D 3101
Seker                  L 2529
Seladur                B 1207 
Selig                  N 1535
Seloo                  C 2102
Shanhaiching           K 1828
Sharn                  A 0601
Shenski                J 0926
Shigetoshi             O 2338
Shorne                 I 0523
Simovia                F 0919
Sinott                 H 2512
Slota                  H 2815
Smilgys                K 1725
Sod                    I 0827
Sodra                  M 0736
Sorang                 B 1307 
Spectrum               N 1333
Spit                   A 0208
Stancombe              O 2139
Stanislav              E 0211
Stanko                 D 2810
Stansifer              D 3109
Sterchi                H 3212
Stevanic               G 2413
Strom                  P 3135
Sturwold               L 2522
Sumerfelt              F 1620
Sumio                  B 1101 
Summer's Lot           B 1604 
Sweet                  D 2901
Sylva                  F 1316
Taaksha                L 2523
Tamroff                A 0308
Tarn                   B 1209 
Tatsuya                P 2839
Teault                 O 1934
Tenson                 I 0329
Teska                  P 2633
The Rock               F 1314
Tlaloc                 K 2230
Tolson                 C 2106
Tooma                  B 1407 
Tralp                  G 1913
Trechier               C 2409
Trikak                 A 0701
Troy                   I 0530
Truelock               J 1321
Trull                  J 1529
Tryon                  G 2012
Tsute                  J 0928
Tuoni                  O 2436
Turnwall               F 0920
Tuxhorn                O 2132
Tworek                 I 0229
Tyche                  O 2234
Typoer                 D 3210
Tyrrell                H 2816
Uebelhor               J 1324
Ulm                    I 0125
Unfried                H 3214
Ungarn                 O 1736
Union                  L 2927
Untamo                 L 3224
Urquiza                O 2134
Usi Ub                 I 0321
Vacob                  K 2024
Vaderwall              G 2218
Vala's World           A 0106
Valentin               F 0915
Vallance               H 3219
Vanauken               J 1522
VanBritson             P 2933
Vaneken                I 0122
Vanus                  J 1423
Veller                 A 0305
Veneet                 H 2519
Viallalta              O 1833
Vivian                 G 1817
Volund                 D 2607
Wackowsk               G 1918
Wair                   E 0116
Waldrin                D 2910
Waltermire             F 1411
Waxstetter             D 2605
Weiji                  I 0428
Wells                  E 0614
Wicker                 L 2728
Wilkerson              M 0136
Wingard                O 2439
Winnenauer             P 2831
Winterlot              K 1827
Wolfram                O 2239
Wongxia                P 3037
Wrath                  B 1002 
Wright                 I 0322
Wu                     A 0203
Xian                   B 1103 
Xianjin                M 0139
Xuber                  N 1631
Yama                   K 2127
Yamashita              A 0602
Yarling                L 2622
Yatooma                C 2207
Yazi                   A 0710
Yergin                 E 0411
Yognigath              K 1928
Youngland              B 1504 
Yuehtsao               J 1323
Yukikyu                P 3239
Zandervort             M 0337
Zathaneze              F 1516
Zentara                E 0212
Ziaeehezar             C 2302
Ziarko                 M 0540
Zilla                  A 0705
Zongwu                 L 3223
Zuppe                  N 1238
 
